_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
62d014cc82f20353166e7ad4||61.18|97.5|61.18|70.03|153,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1657803980000
62d0129e82f20353166aa0ce|true|69.6|97.21|69.6|70.18|174,0,0,0|time|30|-1|2|30|0|10.17|false|false|english|none|normal|false|false|false||1657803422000
62d011e582f20353166a9c8d||58.4|93.67|58.4|65.71|146,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657803237000
62cfd071ee5dcf2b53851fd7||54.8|91.77|56.4|59.03|137,1,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657786481000
62cfcfefee5dcf2b53851d5d||52.8|95.77|54|60.71|132,0,0,1|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657786351000
62cfc98dee5dcf2b53813336||40.8|84.62|42.4|53.4|102,1,0,0|time|30|-1|1|30|0|24.68|false|false|english|none|normal|false|false|false||1657784717000
62cfc921ee5dcf2b537d64a6||56|93.46|56|61.68|140,0,0,0|time|30|-1|9|30|0|56.67|false|false|english|none|normal|false|false|false||1657784609000
62cfc580ee5dcf2b537987a7||44.4|87.41|46.4|54.96|111,1,1,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657783680000
62cfa0c8ee5dcf2b5352d6d1||44|90.63|45.6|58.57|110,2,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657774280000
62cfa0a4ee5dcf2b5352d619|true|42.8|93.97|42.8|59.55|107,0,0,0|time|30|-1|9|30|0|74.59|false|false|english_contractions|none|normal|false|false|false||1657774244000
62cf9f35ee5dcf2b534f0303||44.4|87.02|44.4|49.77|111,0,0,0|time|30|-1|6|30|0|48.55|false|false|english|none|normal|false|false|false||1657773877000
62cf9ea3ee5dcf2b534f002b||51.2|91.78|54.4|52.4|128,2,0,0|time|30|-1|0|30|2|0|false|false|english|none|normal|false|false|false||1657773730000
62cf9e6aee5dcf2b534eff1e||57.2|95.42|57.2|67.06|143,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657773674000
62cf9e21ee5dcf2b534efdc2||44|87.88|44|51.48|110,0,0,0|time|30|-1|2|30|0|4.66|false|false|english|none|normal|false|false|false||1657773600000
62cf9dc3ee5dcf2b534efbc3||60.8|95.76|63.2|64.96|152,1,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657773507000
62cf9d84ee5dcf2b534efa6f|true|61.58|99.35|61.58|72.59|154,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1657773444000
62cf9d5fee5dcf2b534ef99f||37.6|83.05|37.6|43.06|94,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657773407000
62cf9d12ee5dcf2b534ef808|true|50.8|89.58|50.8|57.88|127,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1657773330000
